personne,s,v,e,date,Jerk_rot,Reduced_state,Neck_local_var,Jerk_pos,Hip_local_var,transition,Hip_roll,Right_hand,Neck_roll,Left_foot,Y,X,Roll_correl,Left_hand,Afford_count,Right_foot
P02,S1,V4,E3,28032014,1090465410885705.8,[0. 4. 4. ... 4. 4. 4.],[0.07889136 0.07890076 0.07889814 ... 0.05609155 0.05630269 0.05650305],97376051464619.11,[0.07516236 0.07518222 0.07519618 ... 0.09119882 0.09150677 0.09181833],"[[ 0.  2.  6.  4.  3.]
 [ 0.  0. 15.  0.  0.]
 [ 7. 13.  0.  0.  1.]
 [ 5.  0.  0.  0.  0.]
 [ 2.  0.  0.  1.  0.]]","[-0.13799859 -0.1419386  -0.14584984 ...  0.08172753  0.08471233
  0.08749349]",[1. 1. 1. ... 0. 0. 0.],"[-0.03340966 -0.04228335 -0.04995215 ...  0.51288194  0.51006704
  0.5066984 ]",[0. 0. 0. ... 1. 1. 1.],"[-58.99997447 -58.99997833 -59.00158905 ... 978.40919276 978.47390183
 978.53985295]","[-83.99999264 -84.00003856 -84.00151968 ... 281.63096154 281.32197427
 281.00616563]",[0.9257466  0.92576316 0.92576874 ... 0.63882691 0.64100392 0.64321896],[0. 0. 0. ... 0. 0. 0.],[0. 1. 1. ... 2. 2. 2.],[0. 0. 0. ... 1. 1. 1.]
P11,S1,V4,E3,21032014,4019384651982910.5,[0. 0. 0. ... 4. 4. 4.],[0.16767852 0.16868487 0.16969124 ... 0.02890967 0.02939721 0.02989468],327136960314886.0,[0.02595178 0.02615491 0.02635941 ... 0.05735889 0.05973088 0.06213328],"[[ 0.  5.  9.  9.  8.]
 [ 1.  0. 16.  0.  0.]
 [12. 12.  0.  0.  1.]
 [ 8.  0.  0.  0.  3.]
 [ 9.  0.  0.  2.  0.]]",[0.84655724 0.84764948 0.84847335 ... 0.12639619 0.13357836 0.13881935],[0. 0. 0. ... 0. 0. 0.],"[ 7.02498921e-01  7.04123448e-01  7.06082717e-01 ... -9.29296348e-03
 -4.03904021e-03 -1.35943509e-04]",[0. 0. 0. ... 1. 1. 1.],"[ 3.36784081e-06  5.93063057e-05 -3.40655900e-05 ...  9.74435958e+02
  9.74152873e+02  9.73817743e+02]","[ 12.99999583  13.00002985  12.99997696 ... 271.20373785 271.57031071
 271.92211116]",[0.84844932 0.85007416 0.85167904 ... 0.74481907 0.74986345 0.75483795],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P26,S1,V3,E3,31032014,2505445356011093.5,[0. 0. 0. ... 4. 4. 4.],[0.01440298 0.01440318 0.01440384 ... 0.00633394 0.0062459  0.00616795],144332336276397.72,[0.0830209  0.08290903 0.08279735 ... 0.04077498 0.04078263 0.04079029],"[[ 0.  2.  7. 10.  4.]
 [ 0.  0. 16.  0.  0.]
 [ 8. 14.  0.  0.  1.]
 [10.  0.  0.  0.  0.]
 [ 4.  0.  0.  0.  0.]]","[ 0.45622602  0.4551758   0.45470392 ... -0.08058863 -0.07930119
 -0.07768977]",[0. 0. 0. ... 0. 0. 0.],[0.05339335 0.05458136 0.0566965  ... 0.33380266 0.33544672 0.33674982],[0. 0. 0. ... 0. 0. 0.],"[-68.99996966 -68.99987603 -68.99856029 ... 953.95306186 953.93457478
 953.90845912]","[ -7.99999515  -7.99961154  -7.99102787 ... 289.09216858 289.11686753
 289.13845759]","[ 0.40061528  0.40128287  0.40193031 ... -0.29473833 -0.29646527
 -0.29811773]",[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 0. 0. 0.]
P14,S2,V3,E3,02042014,820580970347987.2,[0. 0. 0. ... 4. 4. 4.],[0.01733282 0.01731999 0.01730662 ... 0.02329781 0.02334439 0.02338937],76737652341147.34,[0.01714037 0.01766069 0.01817836 ... 0.04518962 0.04500821 0.0448256 ],"[[ 0.  0.  8.  4.  4.]
 [ 0.  0. 14.  1.  0.]
 [ 7. 15.  0.  0.  0.]
 [ 5.  0.  0.  0.  0.]
 [ 3.  0.  0.  0.  0.]]",[0.24657866 0.24754291 0.24812825 ... 0.31640268 0.31720135 0.31869501],[0. 0. 0. ... 1. 1. 1.],[0.1983821  0.19997253 0.20140779 ... 0.19322106 0.1962352  0.19991944],[0. 0. 0. ... 0. 0. 0.],"[ -9.9999876   -9.99995938 -10.00003632 ... 475.98350051 475.9985244
 476.01044284]","[-15.99999267 -15.999973   -16.00002277 ... 314.99240856 314.94657323
 314.91824141]",[0.30034456 0.29712126 0.29369714 ... 0.83645655 0.83372597 0.8310542 ],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P32,S1,V2,E2,14042014,5.815415853601993e+16,[0. 4. 4. ... 4. 4. 4.],[0.02528838 0.02537965 0.0254766  ... 0.00434828 0.00436929 0.00439354],3754450464966997.0,[0.02470455 0.02469794 0.02469365 ... 0.0025633  0.00256328 0.00256519],"[[ 0.  9. 13. 18. 27.]
 [ 0.  0. 15.  0.  0.]
 [22.  6.  0.  0.  0.]
 [18.  0.  0.  0.  1.]
 [26.  0.  0.  1.  0.]]","[-0.68758487 -0.69065921 -0.69443529 ...  0.10408637  0.08992055
  0.07428471]",[0. 0. 0. ... 0. 0. 0.],"[-0.22219342 -0.21985568 -0.21741073 ...  0.00746191 -0.00043956
 -0.00711238]",[1. 1. 1. ... 1. 1. 1.],"[ 3.00034113e-05  7.82419362e-05 -7.91257194e-05 ...  8.78772382e+02
  8.79948954e+02  8.81217271e+02]","[ -6.99999124  -6.99989828  -6.99854798 ... 295.86412597 295.47028092
 295.09425772]",[0.7598996  0.76081065 0.76168448 ... 0.14881827 0.15091517 0.15401684],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P03,S1,V1,E1,24032014,2494905167862701.5,[0. 4. 4. ... 4. 4. 4.],[0.06176056 0.06173313 0.06170819 ... 0.03776257 0.03745889 0.03716156],112478040363104.06,[0.04436824 0.04431029 0.04425624 ... 0.06657674 0.06658109 0.06657235],"[[ 0.  3.  6. 11.  9.]
 [ 0.  0. 17.  0.  0.]
 [ 9. 13.  0.  0.  1.]
 [10.  0.  0.  0.  1.]
 [ 9.  1.  0.  0.  0.]]","[-0.03900671 -0.03340348 -0.0284378  ...  0.46013961  0.45574189
  0.45037185]",[0. 0. 0. ... 0. 0. 0.],"[ 0.18398456  0.18967187  0.19388772 ... -0.04056644 -0.05291838
 -0.06635463]",[0. 0. 0. ... 1. 1. 1.],"[-27.99998529 -27.99987557 -27.99842592 ... 949.63901827 949.50008567
 949.34389145]","[-66.00002422 -65.99982622 -65.99678905 ... 290.38145069 290.11751074
 289.82543738]",[0.96623023 0.9662792  0.96632587 ... 0.36845998 0.35886774 0.34897089],[0. 0. 0. ... 0. 0. 0.],[0. 1. 1. ... 1. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
P12,S2,V4,E3,04042014,5750024357615054.0,[0. 0. 0. ... 4. 4. 4.],[0.13680236 0.13706173 0.13729282 ... 0.0186836  0.01872706 0.01876763],480884491308526.5,[0.03576896 0.03505285 0.03433702 ... 0.09927543 0.0992844  0.09929958],"[[ 0.  2. 11.  6.  2.]
 [ 1.  0. 16.  0.  0.]
 [11. 15.  0.  0.  1.]
 [ 6.  0.  0.  0.  2.]
 [ 2.  0.  0.  2.  0.]]","[-0.28735824 -0.2883887  -0.29018817 ... -0.69832287 -0.70084626
 -0.7036911 ]",[0. 0. 0. ... 1. 1. 1.],"[-0.06584986 -0.06213191 -0.05875066 ... -0.25174849 -0.24923228
 -0.24618557]",[0. 0. 0. ... 1. 1. 1.],"[ 35.00000265  35.00007432  34.99994379 ... 891.88725506 892.4140826
 892.94180787]","[ -3.00001364  -2.99983822  -2.99682536 ... 260.30566315 260.44931493
 260.61827412]",[0.23959792 0.23275051 0.22566484 ... 0.77062779 0.77155441 0.77241338],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 3. 3. 3.],[0. 0. 0. ... 1. 1. 1.]
P08,S1,V3,E4,13062014,273837685457844.12,[0. 0. 0. ... 4. 4. 4.],[0.03206279 0.03206762 0.03209006 ... 0.01393093 0.01404136 0.01415987],13475090995132.463,[0.01788705 0.01768319 0.01750241 ... 0.0711982  0.07132628 0.07144905],"[[0. 0. 4. 3. 4.]
 [0. 0. 4. 0. 0.]
 [3. 4. 0. 0. 1.]
 [4. 0. 0. 0. 0.]
 [3. 0. 0. 1. 0.]]",[0.45614826 0.44915169 0.44192496 ... 0.35799377 0.35438841 0.35146049],[0. 0. 0. ... 0. 0. 0.],"[ 0.37183561  0.36673297  0.36070975 ... -0.25980364 -0.26872486
 -0.27888274]",[0. 0. 0. ... 0. 0. 0.],"[ -4.99996364  -4.99985716  -4.99860295 ... 913.7215979  914.16851987
 914.5881545 ]","[ 57.00000815  57.00002556  56.99997653 ... 288.98875424 288.78995722
 288.60001752]",[0.46280665 0.46011843 0.45797914 ... 0.36154902 0.35335356 0.34501233],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 0. 0. 0.]
P00,S1,V2,E2,27032014,579595459121580.5,[0. 0. 0. ... 4. 4. 4.],[0.0419527  0.04157287 0.04119676 ... 0.02123758 0.02109817 0.02097497],31250081916308.125,[0.12785653 0.1274085  0.12695768 ... 0.05798782 0.05769911 0.05740898],"[[ 0.  6.  6.  9.  8.]
 [ 1.  0. 15.  0.  0.]
 [10. 10.  0.  0.  1.]
 [11.  0.  0.  0.  0.]
 [ 6.  0.  0.  2.  0.]]",[0.58489734 0.58572804 0.58739631 ... 0.03821941 0.0431268  0.04827635],[0. 0. 0. ... 0. 0. 0.],[0.35179069 0.34986385 0.34799957 ... 0.07829873 0.0996391  0.12182096],[0. 0. 0. ... 0. 0. 0.],"[-35.99994987 -35.9999354  -36.00008487 ... 921.06728967 920.77162051
 920.45561059]","[ -5.99998641  -5.99999053  -6.00000869 ... 281.7952393  282.20217632
 282.61241593]",[0.90233737 0.90215744 0.90198115 ... 0.94895507 0.94814396 0.9470967 ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.]
P09,S1,V2,E2,21032014,404500072006730.8,[0],[0.01110898 0.01088021 0.01065941 ... 0.08482719 0.08455319 0.08426951],26702179865289.418,[0.0888851  0.08659798 0.08434007 ... 0.15176351 0.15151309 0.15125505],[[0]],"[ 0.96058602  0.95104672  0.94111068 ... -0.08452416 -0.08399496
 -0.08332121]",[0],[0.05138052 0.04630128 0.04063174 ... 0.14520331 0.14403887 0.14226496],[0],"[-20.9999639  -21.0000177  -21.00172628 ... 894.99724387 894.99013322
 894.98538241]","[ 41.00000999  40.9999364   40.9983297  ... 291.24962501 291.09186429
 290.91817627]",[0.78523408 0.77852134 0.7715901  ... 0.8997675  0.89947195 0.89917616],[0],[0],[0]
P29,S1,V3,E4,04042014,2.3498204396015212e+16,[0. 0. 0. ... 4. 4. 4.],[0.00727283 0.00718024 0.00708866 ... 0.05422834 0.05435846 0.05450661],1395543950330023.8,[0.0052761  0.00524311 0.00521239 ... 0.20051768 0.20120863 0.20189274],"[[ 0.  1. 16. 15. 27.]
 [ 1.  0.  6.  0.  0.]
 [16.  6.  0.  0.  0.]
 [16.  0.  0.  0.  2.]
 [25.  0.  0.  3.  0.]]","[ 0.10142653  0.1061953   0.11036745 ... -0.31433476 -0.31418669
 -0.31384101]",[0. 0. 0. ... 1. 1. 1.],"[ 0.11566227  0.11754582  0.11875306 ... -1.97579385 -1.98475153
 -1.99440585]",[0. 0. 0. ... 1. 1. 1.],"[  6.00001137   6.00009824   6.00146554 ... 481.84514579 481.82730391
 481.77130428]","[-11.99999095 -11.99998151 -12.00001945 ... 263.64548722 263.84100774
 264.0322103 ]",[0.78591105 0.78440067 0.78302503 ... 0.87170095 0.8720425  0.87239521],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 4. 4. 4.],[0. 0. 0. ... 1. 1. 1.]
P02,S1,V3,E4,28032014,310311220496019.5,[0. 0. 0. ... 4. 4. 4.],[0.03735793 0.03731681 0.03727356 ... 0.02049042 0.02047936 0.02046861],34869116112399.688,[0.01565965 0.01567493 0.01568887 ... 0.03983762 0.03983374 0.03983035],"[[0. 2. 7. 7. 3.]
 [1. 0. 6. 0. 0.]
 [7. 5. 0. 0. 1.]
 [7. 0. 0. 0. 1.]
 [3. 0. 0. 1. 0.]]","[ 0.23795912  0.23885557  0.23988358 ... -0.19002858 -0.19648073
 -0.20320706]",[0. 0. 0. ... 0. 0. 0.],"[ 0.50408498  0.50317703  0.50231407 ... -0.01939904 -0.01464129
 -0.00839103]",[0. 0. 0. ... 1. 1. 1.],"[-11.99998125 -11.99993393 -12.00005752 ... 930.56988604 930.57543741
 930.56717034]","[  5.00001176   5.00002437   4.99997176 ... 270.39319068 270.1758164
 269.9358119 ]",[0.70962515 0.71055102 0.71143052 ... 0.0756257  0.0748073  0.07408852],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P31,S1,V4,E3,11042014,1517402116970265.2,[2. 4. 4. ... 4. 4. 4.],[0.03230768 0.03190193 0.03149499 ... 0.15768567 0.15628566 0.15487973],125104961269764.97,[0.14846301 0.14754821 0.1466224  ... 0.65447479 0.65348362 0.65242707],"[[ 0.  2.  3.  4.  0.]
 [ 0.  0. 11.  0.  0.]
 [ 5.  9.  0.  0.  2.]
 [ 4.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.]]",[0.06645363 0.06733885 0.06815182 ... 0.45639701 0.43408392 0.41225145],[0. 0. 0. ... 1. 1. 1.],"[ 0.15643988  0.15635464  0.15977628 ... -0.26522489 -0.26868286
 -0.2709628 ]",[1. 1. 1. ... 1. 1. 1.],"[ -1.99997477  -1.99988723  -1.99854586 ... 880.56223026 881.89655915
 883.26194637]","[ -1.9999529   -1.99988396  -1.99700421 ... 291.07006345 290.48555818
 289.90109643]",[0.90725758 0.90540313 0.90339312 ... 0.73808258 0.73693024 0.73578957],[0. 0. 0. ... 0. 0. 0.],[0. 1. 1. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P17,S2,V2,E1,04042014,1.8663679091124668e+16,[0. 0. 0. ... 4. 4. 4.],[0.02062551 0.02063815 0.02065016 ... 0.03314642 0.0332014  0.03325456],1362287856965309.5,[0.0584635  0.05885155 0.05924396 ... 0.0056718  0.00576667 0.00586306],"[[ 0.  5. 14. 11. 12.]
 [ 2.  0. 13.  0.  0.]
 [17. 10.  0.  0.  0.]
 [11.  0.  0.  0.  1.]
 [11.  0.  0.  1.  0.]]","[-0.70900735 -0.70896163 -0.71003331 ... -0.05024423 -0.05223164
 -0.05550366]",[0. 0. 0. ... 0. 0. 0.],"[-0.41724438 -0.41805476 -0.41997812 ... -0.44854444 -0.44580189
 -0.4426346 ]",[0. 0. 1. ... 0. 0. 0.],"[ 15.00002617  15.0000675   14.99993214 ... 900.59748664 901.04509746
 901.4427634 ]","[  5.99999792   6.00002896   5.99997432 ... 280.94588799 281.03502626
 281.15685728]","[ 0.86005044  0.8592886   0.85846934 ... -0.13908825 -0.12927092
 -0.11959327]",[0. 0. 1. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 1. 1. 1.]
P30,S1,V3,E3,07042014,3273859326714333.0,[2. 4. 4. ... 4. 4. 4.],[0.00509677 0.00509623 0.00509597 ... 0.03068312 0.03065977 0.03063555],213808874673732.84,[0.00197718 0.0020022  0.00203195 ... 0.19823977 0.1978677  0.19749215],"[[ 0.  0. 11. 10.  3.]
 [ 0.  0.  7.  0.  0.]
 [10.  7.  0.  0.  2.]
 [11.  0.  0.  0.  1.]
 [ 3.  0.  0.  2.  0.]]",[0.08481922 0.08115037 0.07777782 ... 0.23658887 0.22967069 0.22252052],[0. 0. 0. ... 0. 0. 0.],"[-0.06190358 -0.07156759 -0.07964457 ... -0.31998599 -0.31693675
 -0.31424322]",[1. 1. 1. ... 1. 1. 1.],"[ 20.00002412  19.99997709  19.99849084 ... 887.38869411 888.11366615
 888.88867354]","[ -7.99998114  -7.9999985   -7.99999733 ... 285.50511523 285.38033023
 285.22194386]",[0.65485608 0.64882791 0.64272557 ... 0.71303139 0.71144992 0.70992942],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P06,S1,V3,E3,27032014,330370180228593.25,[0. 0. 0. ... 4. 4. 4.],[0.00668466 0.00667465 0.00666636 ... 0.04439926 0.04429562 0.04419138],19682265143594.15,[0.02140282 0.02137671 0.02135228 ... 0.06205146 0.06195808 0.06186769],"[[ 0.  3.  6.  6. 15.]
 [ 0.  0.  8.  0.  0.]
 [ 8.  5.  0.  0.  1.]
 [ 6.  0.  0.  0.  1.]
 [15.  0.  0.  1.  0.]]","[ 0.25886892  0.25652107  0.2541809  ... -0.18098848 -0.18164657
 -0.18182749]",[0. 0. 0. ... 0. 0. 0.],[0.22548726 0.21951023 0.21364841 ... 0.09620434 0.09321942 0.09131095],[0. 0. 0. ... 0. 0. 0.],"[ 14.00002887  14.00008511  13.99991946 ... 926.2743454  926.28765496
 926.27454144]","[-12.00001298 -12.00005013 -12.00150054 ... 262.9934795  263.26296479
 263.51159103]",[0.13456911 0.13166206 0.12892634 ... 0.92399928 0.92305672 0.92214079],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.]
P04,S1,V4,E3,26032014,4333774432988626.5,[0. 4. 4. ... 0. 0. 0.],[0.20295112 0.20324976 0.20352608 ... 0.06114617 0.06150475 0.06187309],209702465830472.84,[0.20802714 0.20789476 0.20775589 ... 0.08116449 0.08067621 0.08018527],"[[ 0.  2.  3.  6.  1.]
 [ 1.  0. 31.  0.  0.]
 [ 5. 30.  0.  0.  0.]
 [ 6.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.]]",[0.23125017 0.23106966 0.23046037 ... 0.90672222 0.90739205 0.90824388],[1. 1. 1. ... 0. 0. 0.],[0.55274639 0.55060997 0.54814482 ... 0.74035825 0.74591398 0.75120905],[0. 0. 0. ... 0. 0. 0.],"[ -33.000018    -32.99999222  -33.00153794 ... 1012.69886903 1012.76029052
 1012.822251  ]","[-23.00000683 -22.99999416 -22.9999927  ... 269.39168482 269.27691411
 269.17174565]","[ 0.94226334  0.94271699  0.94316376 ... -0.14062263 -0.14039032
 -0.13998143]",[0. 0. 0. ... 0. 0. 0.],[0. 1. 1. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
P24,S1,V2,E2,28032014,5935900954550461.0,[0. 0. 0. ... 4. 4. 4.],[0.01071251 0.01071291 0.01071352 ... 0.01169796 0.01162117 0.0115446 ],621601672342614.4,[0.01281146 0.01282299 0.01283386 ... 0.00776394 0.00769805 0.00763264],"[[ 0.  2. 13. 12.  8.]
 [ 2.  0. 16.  0.  0.]
 [13. 16.  0.  0.  0.]
 [11.  0.  0.  0.  1.]
 [ 8.  0.  0.  0.  0.]]","[ 0.01293505  0.01659165  0.0212454  ... -1.06509653 -1.06436164
 -1.06343127]",[0. 0. 0. ... 0. 0. 0.],"[-8.24921381e-03 -4.36343022e-03 -4.33770977e-04 ... -5.36085719e-01
 -5.36877277e-01 -5.37932582e-01]",[0. 0. 0. ... 1. 1. 1.],"[-15.99999625 -16.00001483 -16.00154305 ... 541.99995271 542.00002353
 542.00005223]","[ -9.00000971  -8.99990707  -8.99853072 ... 292.25836508 292.19796451
 292.13697127]",[0.64247981 0.64196216 0.64144414 ... 0.72667802 0.72461197 0.72251692],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 3. 3. 3.],[0. 0. 0. ... 1. 1. 1.]
P03,S1,V2,E2,24032014,672787874355201.1,[2. 4. 4. ... 4. 4. 4.],[0.0505225  0.05047973 0.05044327 ... 0.02488346 0.02506583 0.02525237],37041125679812.48,[0.06548158 0.06576538 0.0660514  ... 0.08947949 0.08957444 0.08967036],"[[ 0.  2.  4.  8.  1.]
 [ 0.  0. 13.  0.  0.]
 [ 5. 11.  0.  0.  2.]
 [ 7.  0.  0.  0.  2.]
 [ 3.  0.  0.  1.  0.]]","[-0.50673327 -0.50766841 -0.5072848  ...  0.30564496  0.30520398
  0.30355028]",[0. 0. 0. ... 0. 0. 0.],"[-0.37365186 -0.37376914 -0.37307414 ...  0.22075224  0.22468186
  0.2276575 ]",[0. 0. 0. ... 0. 0. 0.],"[ 24.00008011  24.00007975  23.999871   ... 896.37753213 896.77960999
 897.21806128]","[-43.9999764  -43.99998506 -44.00003585 ... 280.87382473 280.68592807
 280.48390179]",[0.87523404 0.87578536 0.87634674 ... 0.67581619 0.67691857 0.67797416],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 1. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
P18,S2,V2,E1,03042014,1.0658174349054434e+16,[0. 0. 0. ... 4. 4. 4.],[0.03109176 0.03104007 0.03098754 ... 0.02287655 0.02285555 0.02283409],1007193111929415.0,[0.20136393 0.20206485 0.20274432 ... 0.02622604 0.02608037 0.02593341],"[[ 0.  3.  9. 11. 11.]
 [ 1.  0. 26.  0.  0.]
 [11. 23.  0.  0.  1.]
 [11.  0.  0.  0.  1.]
 [10.  1.  0.  1.  0.]]",[0.4269041  0.42758505 0.42802197 ... 0.3166176  0.31554618 0.31477679],[0. 0. 0. ... 0. 0. 0.],[0.35331486 0.35389952 0.35491233 ... 0.05136738 0.05124625 0.05147067],[0. 0. 0. ... 0. 0. 0.],"[ 22.00002782  22.00014561  22.00141802 ... 958.65498463 958.99781774
 959.35622345]","[ 7.42235644e-06  2.11564537e-05 -2.04361788e-05 ...  3.02027010e+02
  3.02067639e+02  3.02106483e+02]",[0.94366283 0.94358581 0.94353051 ... 0.68233997 0.68192717 0.68150375],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 0. 0. 0.]
P25,S1,V3,E4,28032014,1211228656128506.2,[0. 4. 4. ... 4. 4. 4.],[0.00809936 0.00807845 0.00805658 ... 0.28624767 0.28642825 0.28660177],159187583913910.72,[0.00249939 0.00249675 0.00249462 ... 0.1864098  0.186822   0.1872097 ],"[[ 0.  2.  4.  6.  3.]
 [ 0.  0. 14.  0.  0.]
 [ 5. 12.  0.  0.  1.]
 [ 6.  0.  0.  0.  0.]
 [ 3.  0.  0.  0.  0.]]","[-0.10148718 -0.10638237 -0.11107755 ... -0.04681059 -0.06040535
 -0.07459592]",[0. 0. 0. ... 0. 0. 0.],"[-0.1058345  -0.10530341 -0.10620902 ...  0.18254351  0.17668259
  0.17189518]",[1. 1. 1. ... 1. 1. 1.],"[ 12.00002219  11.99997647  11.99835305 ... 883.09930097 884.37275037
 885.60407618]","[  7.00001047   7.00025756   7.00481959 ... 283.84547861 283.60562643
 283.4047867 ]",[0.22646446 0.2251003  0.22385557 ... 0.94808955 0.94799984 0.94791306],[0. 0. 0. ... 0. 0. 0.],[0. 2. 2. ... 2. 2. 2.],[1. 1. 1. ... 1. 1. 1.]
P14,S2,V2,E1,02042014,2.7611162797028276e+16,[0. 4. 4. ... 4. 4. 4.],[0.04977749 0.04976108 0.04974439 ... 0.00598131 0.00591491 0.00584786],2039333374878476.0,[0.06508863 0.0649179  0.06473382 ... 0.00223693 0.00229394 0.00235367],"[[ 0.  7.  7. 13. 15.]
 [ 3.  0. 19.  0.  0.]
 [11. 15.  0.  0.  0.]
 [13.  0.  0.  0.  0.]
 [14.  0.  0.  0.  0.]]","[-0.35023496 -0.33811241 -0.3273383  ...  0.31685072  0.32059357
  0.32409465]",[0. 0. 0. ... 0. 0. 0.],"[-0.09254521 -0.0943129  -0.09505191 ...  0.36860882  0.36778229
  0.36601901]",[1. 1. 1. ... 0. 0. 0.],"[  9.99999293   9.99999851   9.99846451 ... 923.47006687 923.55941021
 923.62794907]","[ -3.00000057  -2.99989973  -2.99854914 ... 287.97985844 287.99672981
 288.0063774 ]",[0.75769413 0.75698723 0.75626121 ... 0.46641542 0.46249079 0.45866593],[0. 0. 0. ... 1. 1. 1.],[0. 2. 2. ... 1. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
P23,S1,V2,E2,31032014,6442572806929429.0,[0. 0. 0. ... 4. 4. 4.],[0.00892342 0.00881487 0.00870924 ... 0.03187342 0.0317501  0.03162469],648548874934735.9,[0.01424886 0.0141814  0.01411381 ... 0.00193112 0.00193055 0.00193133],"[[ 0.  1.  7.  7.  5.]
 [ 0.  0. 26.  0.  0.]
 [ 8. 25.  0.  0.  0.]
 [ 7.  0.  0.  0.  0.]
 [ 4.  0.  0.  0.  0.]]","[-0.0634338  -0.06276214 -0.06279789 ...  0.02302362  0.01347131
  0.00456273]",[0. 0. 0. ... 1. 1. 1.],"[-0.20795511 -0.20558762 -0.20442995 ... -0.30177241 -0.29740036
 -0.29354488]",[0. 0. 0. ... 0. 0. 0.],"[  7.99999298   8.00007111   7.99994476 ... 916.38507679 916.79783678
 917.17935497]","[-16.00001365 -15.99998253 -16.00000563 ... 272.37410689 271.89735122
 271.44335148]","[ 0.28950047  0.28273767  0.27589384 ... -0.60611366 -0.60292191
 -0.59911804]",[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P08,S1,V2,E2,13062014,195010489183696.9,[1. 1. 1. ... 0. 0. 0.],[0.02904967 0.02895922 0.02887103 ... 0.03228199 0.03229345 0.03230224],8443041893868.62,[0.08458433 0.08469817 0.08481505 ... 0.06664661 0.06659414 0.06654062],"[[ 0.  0.  3.  1.  1.]
 [ 1.  0. 10.  0.  0.]
 [ 3. 10.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.]]",[0.59928715 0.59180875 0.5851473  ... 0.07927918 0.08089485 0.08179414],[0. 0. 0. ... 0. 0. 0.],[0.5129612  0.50950618 0.50609146 ... 0.29877121 0.28885856 0.27907715],[0. 0. 0. ... 0. 0. 0.],"[  5.00002762   5.0001461    5.00159276 ... 912.12726342 912.17124153
 912.22385486]","[ 67.00003343  67.00003439  66.99993926 ... 303.72978806 303.8711175
 303.98257448]",[0.78151317 0.78148575 0.78146981 ... 0.54584981 0.54776781 0.54958197],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
